OTU,26AFI,26BFI,26CFI,26DFI,26EFI,26FP12I,26FP16I,26FP3I,26FP7I,26FP8I,26FV1I,26FV2I,26FV3I,26FV4I,26FV5I,26H2I,26H3I,26H4I,26H7I,26H8I
0d8501b9e1e4fb0ee833387c23e5de33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
31de3d22f5b19325735267725f1f49e8,9,110,12,107,97,163,0,1,6,13,8,10,57,42,106,2,0,13,64,9
c91ea531c91683ca852e648c5a1b9259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0af38ea1354aa39be5d2dda24f190933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90c1ae30dde9d7fd3c5ef60974e63108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feddbd23d9ccd9b25bd760b4b60b4cfb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649e3cdf5d60caae36a01cbeab5c2405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63ae07d7e437925e22be2e12333b2f1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6747ef5626bbb183a2e5db72380e9428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ad527676fd8412e9a8c6c92496f086e6,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08135439d312c5bdb27840a374c9fa92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3d9a30515e89ffcb9b401da46c21fc2d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68c50e72afe7916769b8555ebb676e33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f35adddd1cf964786b250466b8768db3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4afbc0a746e07474f2df7eef93631523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f82082d10c69b4d3f1c25a533fced0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df84fc8bb4693ad5e425dd42a2e8ee08,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
