OTUID	261MI	261MR	261MS	262MI	262MR	262MS	263MI	263MR	263MS	264MI	264MR	264MS	265MI	265MR	265MS	26AFI	26AFR	26AFS	26BFI	26BFR	26BFS	26CFI	26CFR	26CFS	26DFI	26DFR	26DFS	26EFI	26EFR	26EFS	4110MI	4110MR	4110MS	41AFI	41AFR	41AFS	41DFI	41DFR	41DFS	41EMI	41EMR	41EMS	41FFI	41FFR	41FFS	41FI	41FR	41FS	41GMI	41GMR	41GMS	41IMI	41IMR	41IMS	41JFI	41JFR	41JFS	41JMI	41JMR	41JMS	26FV1I	26FV1R	26FV1S	26FV2I	26FV2R	26FV2S	26FV3I	26FV3R	26FV3S	26FV4I	26FV4R	26FV4S	26FV5I	26FV5R	26FV5S	26MVAI	26MVAR	26MVAS	26MVBI	26MVBR	26MVBS	26MVCI	26MVCS	26MVDI	26MVDR	26MVDS	26MVEI	26MVER	26MVES	41FV1I	41FV1R	41FV1S	41FV2I	41FV2R	41FV2S	41FV3I	41FV3R	41FV3S	41FV4I	41FV4R	41FV4S	41FV5I	41FV5R	41FV5S	41MVAI	41MVAR	41MVAS	41MVBI	41MVBR	41MVBS	41MVCI	41MVCR	41MVCS	41MVDI	41MVDR	41MVDS	41MVEI	41MVER	41MVES	26FP12I	26FP12R	26FP12S	26FP16I	26FP16R	26FP16S	26FP3I	26FP3R	26FP3S	26FP7I	26FP7R	26FP7S	26FP8I	26FP8R	26FP8S	26H2I	26H2R	26H2S	26H3I	26H3R	26H3S	26H4I	26H4R	26H4S	26H7I	26H7R	26H7S	26H8I	26H8R	26H8S	26M10I	26M10S	26M14I	26M14R	26M14S	26M19I	26M19R	26M19S	26M2I	26M2R	26M2S	26M2ScI	26M2ScR	26M2ScS	26M4ScI	26M4ScR	26M4ScS	26M5I	26M5R	26M5S	26M6I	26M6R	26M6S	26M6ScI	26M6ScR	26M6ScS	26M9I	26M9R	26M9S	41FP16I	41FP16R	41FP16S	41FP17I	41FP17R	41FP17S	41FP18I	41FP18R	41FP18S	41FP19I	41FP19R	41FP19S	41FP20I	41FP20R	41FP20S	41M11I	41M11R	41M11S	41M12I	41M12R	41M12S	41M13I	41M13R	41M13S	41M14I	41M14R	41M14S	41M15I	41M15R	41M15S	H31I	H31R	H31S	H32I	H32R	H32S	H33I	H33R	H33S	H34I	H34R	H34S	H35I	H35R	H35S	M1I	M1R	M1S	M2I	M2R	M2S	M3I	M3R	M3S	M4I	M4R	M4S	M5I	M5R	M5S
4b0728eafc19e8e712a7483e055fa79a	1	0	0	0	0	0	0	0	0	0	0	0	2	426	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	27	36	14	7262	13	0	0	0	0	0	0	31	0	23	41	13128	13	25	52	27	0	0	85	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	20	0	0	42	0	0	0	52	39	738	0	0	1	0	0	0	90	46	357	0	12	0	0	0	0	7	480	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	479	0	0	0	5	6	0	1	0	2	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bfd5ba6da1d2c1bc73f39f5363066c35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9617d5019237e05941dd26a065da9968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	5	483	493	1	0	5	0	7	0	0	6	3	0	0	0	0	0	0	0	0	0	2	0	0	181	0	0	0	0	0	6	0	0	42	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39144694e98a639068f6447f72f309db	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d82777a72fe70dc91b09c0021a66f464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2ead2ffc7bdb3f2b2d74ab9409cb691b	27	10	0	15	7	0	0	0	0	0	0	0	1	0	0	3	0	6	0	3	4	288	1	0	0	8	0	175	184	0	0	7	0	24	8	22	0	0	0	0	0	0	6	0	0	0	0	0	5	8	0	33	91	2	31	17	0	0	3	0	0	27	10	0	43	4	0	0	0	2	0	2	0	28	52	0	4	5	0	9	3	20	3	0	911	16	3	212	19	0	348	18	0	0	0	0	0	0	3	0	0	0	70	0	74	233	5	1	80	0	3	30	0	3	7	0	5	21	4	0	25	112	0	1	1	0	5	0	1	19	0	0	14	0	0	169	0	2	113	7	0	16	1	6	220	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	1	187	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	162	1	0	0	3	0	2	0	239	164	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	1	0	0	0	3	20	0	0	0	0	6	0	0	0	0	0	0	17	5	0	0	0	0	0	0	0	6	4
1928e2deabf0f50bc5e216e235cc487b	0	5	0	0	0	0	0	0	0	0	0	0	2	0	23	1	15	0	4	0	0	30	0	0	0	1	0	20	19	0	7	41	0	35	13	7	19	0	9	20	0	0	76	11	0	45	26	0	0	14	0	0	0	1	103	6	0	0	0	0	8	54	12	27	123	15	2	12	0	30	24	0	0	0	14	1	22	1	0	14	0	0	0	0	12	0	0	6	0	0	123	11	0	1	0	0	0	0	0	0	0	0	18	0	0	8	0	0	22	0	0	3	0	0	8	0	0	33	0	19	82	4	0	11	0	1	58	0	0	38	0	3	246	0	0	50	0	0	70	214	2	70	0	0	6	0	4	17	2	0	8	0	0	0	0	15	0	0	21	0	0	32	0	0	4	0	0	142	0	0	83	0	0	4	0	6	80	45	0	2	2	0	421	0	0	195	0	0	30	0	4	87	0	0	13	0	0	0	0	0	27	0	1	18	0	0	16	0	7	14	0	0	85	0	13	57	0	705	186	2	64	25	0	0	118	55	0	7	0	7	18	5	50	18	0	0	188	0
ff6daec569f11e8ecd88a1eb1f6d0678	0	0	0	0	2	0	2	0	0	4	0	0	0	0	0	0	0	0	4	5	4	109	0	0	0	0	0	3	0	0	0	15	0	6	1	7	45	0	10	14	0	0	49	9	2	3	0	0	0	3	0	3	0	0	24	0	0	4	4	0	3	50	2	11	29	0	0	1	0	0	40	0	0	0	0	0	0	0	0	4	0	0	0	0	43	0	0	10	0	0	15	0	0	0	0	0	0	0	0	0	0	0	3	0	6	4	0	0	2	0	0	3	0	0	0	0	0	0	0	5	20	6	0	26	0	0	35	0	0	42	0	0	31	0	0	150	1	0	5	3	0	35	2	0	0	0	1	22	0	0	0	0	7	0	0	5	0	14	66	0	0	21	1	2	15	0	0	56	1	0	5	0	0	4	0	0	142	22	5	0	0	0	266	2	0	70	0	0	12	0	3	200	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	10	0	9	18	0	65	30	0	0	0	0	0	18	11	0	0	3	5	8	0	31	38	0	0	44	0
6d338102f2433ec68358bd30f08390b3	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	238	0	2	318	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	23	0	0	0	0	0	0	0	0	37	0	0	0	0	0	5	0	8	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9cce6aabbfd925399bf1111383f9d0a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	20	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	9	0	0	12	0	0	0	0	0	15	0	0	10	0	2	1	0	0	1	0	1	22	931	55	608	2194	65	665	1544	17	1977	1727	45	360	2728	305	45	1265	107	3595	93	137	4404	603	3955	24	134	2890	13	179	42	2	0	43	0	0	26	0	0	3	14	0	31	8	0	0	32	3	228	200	6	166	41	2	0	101	3	100	165	14	139	25	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	3	10	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	676	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
