OTUID,261MR,262MR,263MR,264MR,265MR,26AFR,26BFR,26CFR,26DFR,26EFR,4110MR,41AFR,41DFR,41EMR,41FFR,41FR,41GMR,41IMR,41JFR,41JMR,26FV1R,26FV2R,26FV3R,26FV4R,26FV5R,26MVAR,26MVBR,26MVDR,26MVER,41FV1R,41FV2R,41FV3R,41FV4R,41FV5R,41MVAR,41MVBR,41MVCR,41MVDR,41MVER,26FP12R,26FP16R,26FP3R,26FP7R,26FP8R,26H2R,26H3R,26H4R,26H7R,26H8R,26M14R,26M19R,26M2R,26M2ScR,26M4ScR,26M5R,26M6R,26M6ScR,26M9R,41FP16R,41FP17R,41FP18R,41FP19R,41FP20R,41M11R,41M12R,41M13R,41M14R,41M15R,H31R,H32R,H33R,H34R,H35R,M1R,M2R,M3R,M4R,M5R
c82870cd9d4730bc71f54e84a677293a,0,0,0,0,0,0,0,0,0,0,17,0,0,224,1,0,9,19,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,11,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,52,0,3,101,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ad527676fd8412e9a8c6c92496f086e6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,98,0,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,12,2,0,0,0,0,0,0,0,0,0,8
ce272b2de05042945d7cba8e14de0f93,40,0,8,0,0,374,13,3,10,0,10,12,0,54,0,5,32,0,7,7,1,0,2,9,11,4,7,41,111,0,0,0,2,91,0,15,17,0,7,2,33,5,38,31,13,238,19,42,27,77,0,491,63,8,19,51,111,686,0,136,66,304,2,48,2,0,7,29,61,122,52,0,17,0,46,6,1,0
38d62248a14ec1f118c65de29790c0cf,0,0,0,0,0,0,0,0,0,0,26,11,0,6,34,42,0,0,0,4,0,20,0,0,0,16,32,10,0,0,0,0,0,529,0,11,0,0,0,4,35,98,0,48,171,0,55,13,8,0,1,0,17,0,6,0,0,37,0,0,121,0,35,4,0,9,7,0,0,0,57,81,30,16,0,18,9,23
4afbc0a746e07474f2df7eef93631523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02dc10fc031e0343db3a4bd090423af0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,178,0,0,0,0,0,0,3,0,9,7,0,36,109,0,0,0,0,0,0,5,0,0,0,0,0,0,208,0,0,0,0,0,0,136,215,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,4,0
df84fc8bb4693ad5e425dd42a2e8ee08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,97,10,10,25,41,5,7,20,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1bfcc3f7803851dbddf8c43a2dff7e86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27fbbf760a071f665031375ef30f00ec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bea20a8a18a6c85dc39842c7278cdf3f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d85d1a90dbaf637c6d8ef909672ac45,0,0,0,0,0,2,0,0,15,524,0,0,0,0,0,0,0,0,0,0,3,147,0,30,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,5,18,19,109,780,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba9b206981921e7b165020e9de2549c9,32,3,0,0,0,24,0,0,2,0,10,5,0,0,0,4,12,0,0,7,4,0,116,32,22,7,13,376,41,115,0,0,6,64,21,16,29,7,61,80,161,44,37,72,297,1679,89,67,1235,0,0,33,48,0,37,212,19,79,4,978,299,97,321,0,0,161,15,17,5,6,9,69,10,23,12,26,8,44
7cebeaa2d83ee4352865c038085652c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,4,0,0,1,7,0,0,0,0,0,0,2,4,0,0,0,1,3,0,0,3,0,0,15,0,3,0,0,15,0,12,3,0,15,2,0,0,6,0,0,3,2,0,2,0,0,0,0,1
b0a3a2f56c9293dd822b7e880450275c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0984051727226a32b612176a14671164,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,3,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,13,9,0,12,20,0,0,0,0,0,0,3,0,0,0,0,0,0,258,120,0,0,0,0,0,0,0,0,2,0,9,2,0,1,0,0,0
e576ba13cd883afca365e1e645db6ef1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4f38747c471b916678b11b424288eba1,2,3,0,0,0,50,0,0,1,0,666,0,0,0,50,0,2,6,0,4,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,217,10,0,0,83,0,84,0,0,2,40,0,9,0,2,38,0,0,0,0,0,140,0,33,0,37,76,0,0,0,0
931b95c7ec8076f15d2647ce159fce8f,64,0,0,0,0,0,0,0,0,0,0,454,2,3,1550,11,1681,0,4,0,1024,0,15,0,0,832,0,70,12,0,0,3,0,0,0,0,9,0,0,712,0,0,0,2,1424,0,1386,1,182,2,1825,0,0,65,0,0,0,0,0,0,0,0,0,180,0,136,151,0,2,172,1951,0,0,0,0,0,0,0
8a573680a1bdcad765a979c0819b7fab,3868,1190,0,9,0,27,0,0,0,0,0,19,3051,32,257,443,0,269,130,0,55,566,0,0,280,0,2,6139,6841,0,9,27,865,208,412,108,149,149,11349,21,4,0,2,2,174,7,25,88,4718,26,78,292,0,1,0,1,0,0,2,566,55,3996,906,190,24,629,303,82,565,101,21,0,0,145,0,0,68,0
fa75a1b14a427aa7d16bc9ababe1b3c7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47f3d645d96038371757074de1d8fb8d,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,310,0,59,0,0,0,0,0,3,789,0,0,0,0,0,0,0,0,0,0,0,0,0
9b095f4aaa97f24647dd8d2935a82a55,0,4,0,0,0,0,0,0,0,38,69,13,0,38,98,367,1,0,348,20,0,0,0,22,0,345,130,12,0,0,0,0,1,426,0,10,0,0,8,0,32,20,0,18,124,2,63,44,9,2,0,37,6,3,115,1,3,347,0,240,53,0,126,2,0,0,21,0,3,111,15,115,6,0,1,0,4,3
c2c7b41b0fc478be8ac4d58acecda13c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0f45b96953db5b0b58e2138aee3ed697,3,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,34,20,16,24,56,0,0,0,8,0,0,0,0,0,0,4,0,0,17,17,1,8,5,7,0,9,0,7,5,10,0,0,170,0,0,11,0,0,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0
ab4593fe4699d655fe9b01788a130ee7,0,7,0,0,0,0,0,0,0,0,3,5,0,84,19,6,0,0,7,0,3,0,0,1,0,10,20,1,0,0,0,0,0,44,0,11,0,0,1,0,6,12,4,16,0,9,43,3,0,0,0,0,0,0,0,0,0,0,0,34,3,0,163,2,0,0,1,0,2,9,4,5,8,0,0,1,2,3
0f6fbcd7be4c9b4035486c2d716f004a,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,7,8,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,2,0,4,0,0,14,13,12,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
a3ec387c4e557381be14dad3d94736f7,3,13,0,0,0,0,0,0,0,0,0,23,0,242,353,10,194,321,102,69,0,0,2,293,0,101,1,234,0,0,0,0,0,0,0,30,3,0,0,303,151,0,329,5,0,0,67,175,0,19,52,119,12,0,773,0,0,604,4,1377,980,16,467,6,0,0,2,0,3,308,108,5,584,114,20,0,1,298
f74a1033aef1f24928e9346e23525c05,0,0,0,0,0,0,0,0,0,0,34,0,0,24,0,0,46,147,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0
2c7ecd760a0fc563708fb905aec94e2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,31,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,271,0,0,0,0,0,0,0,0,0,0,64,4,0,0,0,0,0,0,0,0,0,0,0
fb1bbd65146ca8b0ef54dd506fc356ba,0,4,0,0,0,0,0,0,0,0,33,10,0,34,34,14,24,8,44,0,35,28,0,7,0,216,216,17,0,0,0,0,8,226,0,18,0,0,10,5,53,7,0,226,79,36,27,5,5,6,16,0,12,0,173,212,0,133,0,175,15,3,239,0,0,0,2,3,4,26,5,0,45,0,8,0,4,21
412292dba0332df0eae4cdf0b09eb6db,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1536,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,1046,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,335,0,0,0,6,0,0,0,0,0,0,0,1,0,0
b279eda11ea3d1d000364f12e3317f10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a6713917ed418df373f7334b2d359678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f5c302aeb4e51c99b555a49850b48502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3e2b30ff260e2665ac0dab392f89e132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0
98ba5d77cafb6be934e1a5fc9d009699,0,4,0,0,0,0,0,0,0,20,27,0,0,0,36,11,0,0,28,0,98,23,2,0,0,0,12,8,255,58,0,17,1,18,0,0,98,0,23,0,8,6,56,0,0,0,0,0,1,0,0,0,55,4,0,0,0,0,1,41,70,3,335,0,0,0,61,0,5,2,23,0,0,0,0,3,0,0
0560a1e5497c460e7f721eb047025b1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,0,0,0,0,0,0,0,0,0,0
