OTUID,poblacion,temporada,seccion,sexo,corrida,profundidad ,Sexo_poblacion,Sexo_temporada,comparacion
41FP19R,4150 msnm,Reproductiva,Recto,Hembra,corrida3,78626,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FP20S,4150 msnm,Reproductiva,Estomago,Hembra,corrida3,18943,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FP20I,4150 msnm,Reproductiva,Ileon,Hembra,corrida3,19647,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
41FP20R,4150 msnm,Reproductiva,Recto,Hembra,corrida3,97109,Hembra 4150 msnm,Hembra Reproductiva,Hembra4150Rep
26MVAI,2600 msnm,No Reproductiva,Ileon,Macho,corrida2,13508,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26MVAR,2600 msnm,No Reproductiva,Recto,Macho,corrida2,24211,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26MVAS,2600 msnm,No Reproductiva,Estomago,Macho,corrida2,30373,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26MVBI,2600 msnm,No Reproductiva,Ileon,Macho,corrida2,740,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26MVBR,2600 msnm,No Reproductiva,Recto,Macho,corrida2,21009,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26MVBS,2600 msnm,No Reproductiva,Estomago,Macho,corrida2,23907,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26MVCI,2600 msnm,No Reproductiva,Ileon,Macho,corrida2,2328,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26MVCS,2600 msnm,No Reproductiva,Estomago,Macho,corrida2,11934,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26MVDI,2600 msnm,No Reproductiva,Ileon,Macho,corrida2,379,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26MVDR,2600 msnm,No Reproductiva,Recto,Macho,corrida2,40516,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26MVDS,2600 msnm,No Reproductiva,Estomago,Macho,corrida2,22515,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26MVEI,2600 msnm,No Reproductiva,Ileon,Macho,corrida2,419,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26MVER,2600 msnm,No Reproductiva,Recto,Macho,corrida2,22418,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26MVES,2600 msnm,No Reproductiva,Estomago,Macho,corrida2,743,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26M5S,2600 msnm,No Reproductiva,Estomago,Macho,corrida3,958,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26M5I,2600 msnm,No Reproductiva,Ileon,Macho,corrida3,1134,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26M5R,2600 msnm,No Reproductiva,Recto,Macho,corrida3,27836,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26M10S,2600 msnm,No Reproductiva,Estomago,Macho,corrida3,2780,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26M10I,2600 msnm,No Reproductiva,Ileon,Macho,corrida3,470,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26M2S,2600 msnm,No Reproductiva,Estomago,Macho,corrida3,42880,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26M2I,2600 msnm,No Reproductiva,Ileon,Macho,corrida3,21580,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26M2R,2600 msnm,No Reproductiva,Recto,Macho,corrida3,25386,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26M9S,2600 msnm,No Reproductiva,Estomago,Macho,corrida3,21048,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26M9I,2600 msnm,No Reproductiva,Ileon,Macho,corrida3,1265,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26M9R,2600 msnm,No Reproductiva,Recto,Macho,corrida3,152034,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26M6S,2600 msnm,No Reproductiva,Estomago,Macho,corrida3,699,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26M6I,2600 msnm,No Reproductiva,Ileon,Macho,corrida3,72,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26M6R,2600 msnm,No Reproductiva,Recto,Macho,corrida3,20024,Macho 2600 msnm,Macho No Reproductivo,Macho2600NoRep
26FV1I,2600 msnm,No Reproductiva,Ileon,Hembra,corrida2,6516,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26FV1R,2600 msnm,No Reproductiva,Recto,Hembra,corrida2,10936,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
26FV1S,2600 msnm,No Reproductiva,Estomago,Hembra,corrida2,7895,Hembra 2600 msnm,Hembra No Reproductiva,Hembra2600NoRep
