OTUID,265MR,263MR,261MR,264MR,262MR,26M6ScR,26M2ScR,26M14R,26M19R,26M4ScR,26CFR,26BFR,26DFR,26AFR,26EFR,26FP3R,26FP7R,26FP16R,26FP8R,26FP12R,4110MR,41JMR,41IMR,41GMR,41EMR,41M11R,41M12R,41M13R,41M14R,41M15R,41JFR,41AFR,41DFR,41FR,41FFR,41FP16R,41FP17R,41FP18R,41FP19R,41FP20R,26MVAR,26MVBR,26MVDR,26MVER,26M5R,26M2R,26M9R,26M6R,26FV1R,26FV2R,26FV3R,26FV4R,26FV5R,26H2R,26H4R,26H7R,26H8R,26H3R,41MVAR,41MVBR,41MVCR,41MVDR,41MVER,M1R,M3R,M4R,M5R,M2R,41FV1R,41FV2R,41FV3R,41FV4R,41FV5R,H31R,H32R,H33R,H34R,H35R
78c04e6690df9f7c6b8173c569cd0090,0,0,0,0,4,0,112,5,29,132,0,0,0,4,2,0,52,0,12,0,44,0,0,5,12,0,0,0,34,0,10,10,0,40,6,0,180,471,58,123,142,0,1,3,0,8,78,32,154,0,3,0,0,5,122,26,6,0,0,0,115,0,0,17,0,0,110,62,16,17,29,0,128,24,20,131,1,0
8dff50d63a418eafee877c0d6ca25f78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
41e6665f02afb36e1ae83eaa10248f71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882f35fb01d15fbffd2ab8ac9d109bf9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ec6aa03af1f8e694ff91e90f998ce118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,13,7,12,4,24,0,0,0,0,1,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,1,0,0,0,0
7c89037609128c0efdd97b5aa86771f9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,38,0,132,0,8,0,6,0,0,3,31,0,0,0,0,0,0,0,0,10,6,0,55,5,0,10,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,50,0,0,0,26,0,0,7,2,10,18,2,2,0,0,0,0,34,11,0,4,0,3
721d6345b84d6768b72ee1b3a4ab84f4,0,0,0,0,32,16,0,0,126,0,0,1,0,24,78,106,382,78,98,17,371,39,114,16,1444,113,0,0,4,1,171,45,2,4,76,0,191,563,40,53,62,33,4,0,106,143,6815,26,56,11,0,16,0,614,1748,3,0,0,14,14,3,0,135,110,329,30,98,276,0,6,0,9,131,230,9,125,108,0
f57221b59f1b7000f130073d9253f368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dda9eef22574d2414f444719172d3454,0,0,0,0,2,0,0,9,0,0,0,0,0,1,8,0,0,0,0,8,0,0,17,4,32,4,0,0,0,0,0,0,0,0,0,0,0,1,0,50,10,4,0,0,0,10,0,0,3,0,0,0,0,4,58,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0
e36a146a7499b1b329312ccafdd7b2d3,0,0,0,0,0,0,13,0,14,0,0,0,0,0,0,58,69,0,72,14,15,0,0,0,3,0,0,127,3,4,0,8,1,12,26,9,1162,200,327,401,45,79,87,53,115,20,317,26,19,72,15,0,0,46,0,87,23,218,23,3,8,0,29,7,0,14,20,0,11,0,0,0,14,16,139,15,50,0
a0f1c814ea1075ab69f3de44c0d5a035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,16,2,21,163,0,0,0,2,0,32,7,0,7,19,0,75,6,2,120,0,0,0,0,0,0,0,0,19,0,0,10,0,0,0,0,0,0,0,4,0,0,0,2,3,0,4,0,10,0,0,0,309,0,0,6,37,0
08af70b334689911fb3c38d5ddf110b4,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b779187821979314b2c3edff540083d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,6,0,0,0,0,0
e91c54f75605800ff097e5f547598e94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,37,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e9aa3e1cfce726d3ae82dc9707c40485,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
15fceee5bfa7b4b1d6f2c0b0c4aa23ae,0,0,0,0,2,0,10,0,4,0,0,3,2,1,5,9,19,5,17,0,7,0,0,8,3,0,0,0,3,2,0,0,0,7,9,0,128,82,2,198,97,38,45,34,0,29,217,0,6,34,0,0,0,36,70,6,0,7,6,0,0,1,20,0,3,11,23,5,23,5,0,3,29,2,0,0,26,4
2e805e5ce6f30bcff37fad191b74bd6f,0,0,0,0,0,0,3,5,0,0,0,0,0,9,20,196,109,70,252,7,25,0,52,4,287,0,0,12,10,0,226,16,0,252,58,0,149,142,12,1602,48,33,43,0,0,0,7,250,39,0,0,0,0,1,0,2,3,708,5,25,0,0,71,99,106,16,47,17,0,0,0,1,263,52,35,47,140,309
54402d43b1a102231d500b27b0dcf5fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,128,0,0,0,0,0,0,9,75,34,5,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0
3017035b0bcc2b5a2d72911c26924bfb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ec737d9ea753049e0c2e63f3a14d0145,5,0,170,0,34,27,31,17,78,181,0,0,0,28,2,40,164,0,27,38,19,0,0,6,25,145,0,77,49,0,0,10,1,11,0,15,405,37,314,38,104,0,101,34,216,86,1192,63,3,0,9,13,77,189,27,360,73,3,14,37,33,17,348,50,0,31,33,52,0,11,1,24,389,85,86,218,3,86
80d9b1a39ad8ebe13fe98e1c036323ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,6,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,17,0,0,0,13,0,0,0,0,0
7d1d0cf7e437747fd6201a989badc8ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
eeb2d70fc241aa82b645dd79d8b0e78a,0,0,0,0,0,5,7,2,0,31,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,257,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f31c7f73df4403bfef3f84e423b0316b,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
413900e8ce9ec022feb77dba70547f1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7a1a7d3362a2f4e3bb2b0f088b9a6b84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68,0,0,0,4,63,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fe925b5695a798bac522556825125f82,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8c100bb3fe5e92bfbf58c66a4c9df5e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,3,0,6,0,0,0,0,2,0,0,78,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,23,7,2,5,0,3
29b55e0bc68d439d6389b5c373a5579e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48e1041cf7f8d4be9a032ad1c4532de6,0,0,0,0,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,32,21,0,177,0,1,0,2,0,0,0,14,10,5,0,3,0,6,0,0,2,3,0,4,0,6,2,2,0,0,2,0,0,0,0,0,6,1,0,0,0,0
e541825ce8b86c18c3108e8dc20a1675,0,0,0,0,67,65,65,216,365,2,0,3,0,0,0,180,513,261,722,0,241,12,211,416,1379,0,0,0,0,0,0,163,0,355,0,5,1101,634,28,2504,6,984,62,6,1295,582,6375,16,5,100,0,3,2,0,0,170,7,1,5,87,4,3,110,177,0,80,459,149,27,3,0,40,0,0,40,302,0,0
b9118c22281dc72a1b9e452ea85d6f1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,370,228,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,33,3044,13,0,21,115,0,0,0,83,0,0,0,0,1,454,1,0,0,50,0,0,0,21,0,30,23,26,0,0,0,0,0,0,0,12,0
0d6141c08adc6b98b75cd2ab3e6b208d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93ee3dc60b890eda6a03a4a15dacd28e,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
